Song Name,Song Number,Song Length (mm:ss),Song Length (secs),Summative Song Start,Google Drive Link
Alexander Hamilton,1,3:56,236,0,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Alexander_Hamilton.mp3
"Aaron Burr, Sir",2,0:02:36,156,236,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Aaron_Burr_Sir.mp3
My Shot,3,0:05:33,333,392,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/My_Shot.mp3
Story of Tonight,4,0:01:31,91,725,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Story_Of_Tonight.mp3
The Schuyler Sisters,5,0:03:06,186,816,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Schuyler_Sisters.mp3
Farmer Refuted,6,0:01:52,112,1002,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Farmer_Refuted.mp3
You'll Be Back,7,0:03:28,208,1114,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Youll_Be_Back.mp3
Right Hand Man,8,0:05:21,321,1322,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Right_Hand_Man.mp3
A Winter's Ball,9,0:01:10,70,1643,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/A_Winters_Ball.mp3
Helpless,10,0:04:10,250,1713,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Helpless.mp3
Satisfied,11,0:05:29,329,1963,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Satisfied.mp3
Story of Tonight Reprise,12,0:01:56,116,2292,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Story_Of_Tonight_(Reprise).mp3
Wait For it,13,0:03:14,194,2408,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Wait_For_It.mp3
Stay Alive,14,0:02:39,159,2602,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Stay_Alive.mp3
Ten Duel Commandments,15,0:01:47,107,2761,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Ten_Duel_Commandments.mp3
Meet Me Inside,16,0:01:24,84,2868,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Meet_Me_Inside.mp3
That Would Be Enough,17,0:02:58,178,2952,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/That_Would_Be_Enough.mp3
Guns and Ships,18,0:02:08,128,3130,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Guns_and_Ships.mp3
History Has Its Eyes On You,19,0:01:37,97,3258,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/History_Has_Its_Eyes_On_You.mp3
Yorktown,20,0:04:03,243,3355,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Yorktown.mp3
What Comes Next?,21,0:01:39,99,3598,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/What_Comes_Next.mp3
Dear Theodosia,22,0:03:04,184,3697,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Dear_Theodosia.mp3
Non-Stop,23,0:06:25,385,3881,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Non-Stop.mp3
What'd I Miss,24,0:03:57,237,4266,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Whatd_I_Miss.mp3
Cabinet Battle #1,25,0:03:35,215,4503,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Cabinet_Battle_#1.mp3
Take A Break,26,0:04:46,286,4718,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Take_A_Break.mp3
Say No To This,27,0:04:02,242,5004,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Say_No_To_This.mp3May
The Room Where It Happens,28,0:05:18,318,5246,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Room_Where_It_Happens.mp3
Schuyler Defeated,29,0:01:04,64,5564,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Schuyler_Defeated.mp3
Cabinet Battle #2,30,0:02:23,143,5628,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Cabinet_Battle_#2.mp3
Washington On Your Side,31,0:03:01,181,5771,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Washington_On_Your_Side.mp3
One Last Time,32,0:04:56,296,5952,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/One_Last_Time.mp3
I Know Him,33,0:01:38,98,6248,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/I_Know_Him.mp3
The Adams Administration,34,0:00:55,55,6346,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Adams_Administration.mp3
We Know,35,0:02:22,142,6401,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/We_Know.mp3
Hurricane,36,0:02:24,144,6543,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Hurricane.mp3
The Reynolds Pamphlet,37,0:02:08,128,6687,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Reynolds_Pamphlet.mp3
Burn,38,0:03:45,225,6815,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Burn.mp3
Blow Us All Away,39,0:02:54,174,7040,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Blow_Us_All_Away.mp3
Stay Alive - Reprise,40,0:01:52,112,7214,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Stay_Alive_(Reprise).mp3
It's Quiet Uptown,41,0:04:30,270,7326,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Its_Quiet_Uptown.mp3
The Election of 1800,42,0:03:57,237,7596,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_Election_of_1800.mp3
Your Obedient Servant,43,0:02:30,150,7833,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Your_Obedient_Servant.mp3
Best of Wives and Best of Women,44,0:00:48,48,7983,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Best_of_Wives_and_Best_of_Women.mp3
The World Was Wide Enough,45,0:05:02,302,8031,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/The_World_Was_Wide_Enough.mp3
"Who Lives, Who Dies, Who Tells Your Story",46,0:03:37,217,8333,https://googledrive.com/host/0B2VnvksneGHzNk9vdDFZcHdoTjg/Who_Lives_Who_Dies_Who_Tells_Your_Story.mp3